scenario_id,scenario_name,category,meter,foot_count,rhyme_scheme,config_label,config_description,seed,meter_accuracy,rhyme_accuracy,regeneration_success,semantic_relevance,num_iterations,num_lines,duration_sec,input_tokens,output_tokens,total_tokens,estimated_cost_usd,iteration_tokens,error
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.446290,0,8,87.101,789,10424,11213,0.126666,it=0:in=789:out=10424,
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,1.000000,0.485509,1,8,129.649,2249,16145,18394,0.198238,"it=0:in=789:out=6752,it=1:in=1460:out=9393",
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.604380,1,8,95.014,3224,12926,16150,0.161560,"it=0:in=1767:out=8388,it=1:in=1457:out=4538",
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,1.000000,0.581549,1,8,121.194,1871,14474,16345,0.177430,"it=0:in=938:out=11056,it=1:in=933:out=3418",
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.554295,0,8,55.299,1916,6822,8738,0.085696,it=0:in=1916:out=6822,
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.631973,0,8,82.759,1767,9641,11408,0.119226,it=0:in=1767:out=9641,
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.436681,0,8,69.032,938,8464,9402,0.103444,it=0:in=938:out=8464,
N04,"Самотність (амфібрахій, 4 стопи, ABAB)",normal,амфібрахій,4,ABAB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,0.750000,0.000000,0.528830,0,8,65.375,1916,8392,10308,0.104536,it=0:in=1916:out=8392,
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,0.750000,0.000000,0.506817,0,8,64.885,789,7643,8432,0.093294,it=0:in=789:out=7643,
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,1.000000,0.501184,1,8,137.108,2247,17203,19450,0.210930,"it=0:in=789:out=6063,it=1:in=1458:out=11140",
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,0.000000,0.591413,0,8,62.990,2308,7736,10044,0.097448,it=0:in=2308:out=7736,
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,1.000000,0.569590,1,8,113.509,1875,14164,16039,0.173718,"it=0:in=938:out=7133,it=1:in=937:out=7031",
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.565184,0,8,53.407,2457,6673,9130,0.084990,it=0:in=2457:out=6673,
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,1.000000,0.750000,0.000000,0.504161,0,8,56.786,2308,6890,9198,0.087296,it=0:in=2308:out=6890,
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,0.750000,0.000000,0.670095,0,8,39.892,938,5580,6518,0.068836,it=0:in=938:out=5580,
N05,"Місто вночі (анапест, 4 стопи, AABB)",normal,анапест,4,AABB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.569264,0,8,73.894,2457,9271,11728,0.116166,it=0:in=2457:out=9271,
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.383160,0,4,94.497,778,11255,12033,0.136616,it=0:in=778:out=11255,
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,1.000000,0.402973,1,4,104.192,1852,12254,14106,0.150752,"it=0:in=778:out=7542,it=1:in=1074:out=4712",
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.295697,1,4,79.693,2818,9225,12043,0.116336,"it=0:in=1740:out=4357,it=1:in=1078:out=4868",
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.372658,0,4,35.290,869,4132,5001,0.051322,it=0:in=869:out=4132,
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.346023,0,4,18.973,1831,2170,4001,0.029702,it=0:in=1831:out=2170,
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.403735,0,4,34.012,1740,3891,5631,0.050172,it=0:in=1740:out=3891,
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.388555,0,4,11.517,869,1271,2140,0.016990,it=0:in=869:out=1271,
E01,"Мінімальний розмір (ямб, 2 стопи, ААВВ)",edge,ямб,2,AABB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.360128,0,4,32.242,1831,4096,5927,0.052814,it=0:in=1831:out=4096,
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.551114,0,4,83.638,785,10211,10996,0.124102,it=0:in=785:out=10211,
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,B,LLM + Val + Feedback (no RAG),0,0.000000,1.000000,0.000000,0.314765,1,4,408.056,785,5021,5806,0.061822,it=0:in=785:out=5021,
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,C,Semantic RAG + Val + Feedback,0,1.000000,0.500000,0.666667,0.519159,1,4,116.373,2960,13618,16578,0.169336,"it=0:in=1738:out=6899,it=1:in=1222:out=6719",
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.426728,0,4,41.724,943,5022,5965,0.062150,it=0:in=943:out=5022,
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,E,Full system (semantic + metric examples + val + feedback),0,0.750000,1.000000,0.750000,0.486318,1,4,207.989,3061,26137,29198,0.319766,"it=0:in=1896:out=14140,it=1:in=1165:out=11997",
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.278811,0,4,59.318,1738,6519,8257,0.081704,it=0:in=1738:out=6519,
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,0.000000,1.000000,0.000000,0.523038,0,4,46.775,943,5891,6834,0.072578,it=0:in=943:out=5891,
E02,"Великий розмір (ямб, 6 стоп, АВАВ)",edge,ямб,6,ABAB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.504086,0,4,329.872,1896,10777,12673,0.133116,it=0:in=1896:out=10777,
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.544002,0,4,42.121,785,5004,5789,0.061618,it=0:in=785:out=5004,
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,1.000000,0.410271,1,4,156.154,1947,20158,22105,0.245790,"it=0:in=785:out=6486,it=1:in=1162:out=13672",
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.456753,1,4,155.731,2840,19596,22436,0.240832,"it=0:in=1677:out=8176,it=1:in=1163:out=11420",
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.499084,0,4,88.373,989,10906,11895,0.132850,it=0:in=989:out=10906,
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.451970,0,4,61.109,1881,7437,9318,0.093006,it=0:in=1881:out=7437,
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.486423,0,4,42.992,1677,5197,6874,0.065718,it=0:in=1677:out=5197,
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.484037,0,4,197.663,989,9286,10275,0.113410,it=0:in=989:out=9286,
E03,"Великий розмір (анапест, 6 стоп, ABBA)",edge,анапест,6,ABBA,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,0.750000,1.000000,0.000000,0.543052,0,4,96.221,1881,11709,13590,0.144270,it=0:in=1881:out=11709,
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.514853,0,4,27.887,790,3358,4148,0.041876,it=0:in=790:out=3358,
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,1.000000,0.611945,1,4,90.198,1947,12193,14140,0.150210,"it=0:in=790:out=6217,it=1:in=1157:out=5976",
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.594277,1,4,99.299,2851,12111,14962,0.151034,"it=0:in=1694:out=7641,it=1:in=1157:out=4470",
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,1.000000,0.544440,1,4,96.211,2119,11957,14076,0.147722,"it=0:in=962:out=7998,it=1:in=1157:out=3959",
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.561335,0,4,63.444,1866,7707,9573,0.096216,it=0:in=1866:out=7707,
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.568656,0,4,27.527,1694,3762,5456,0.048532,it=0:in=1694:out=3762,
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.479109,0,4,56.879,962,6927,7889,0.085048,it=0:in=962:out=6927,
E04,"Монорима (амфібрахій, 5 стоп, AAAA)",edge,амфібрахій,5,AAAA,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.612383,0,4,42.690,1866,5358,7224,0.068028,it=0:in=1866:out=5358,
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.380936,0,4,46.989,782,6668,7450,0.081580,it=0:in=782:out=6668,
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,1.000000,0.389258,1,4,132.502,1922,16245,18167,0.198784,"it=0:in=782:out=6342,it=1:in=1140:out=9903",
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.405014,1,4,124.784,2888,16248,19136,0.200752,"it=0:in=1747:out=5218,it=1:in=1141:out=11030",
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.383097,0,4,71.693,996,8915,9911,0.108972,it=0:in=996:out=8915,
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,1.000000,0.344046,1,4,137.619,3098,17553,20651,0.216832,"it=0:in=1961:out=9658,it=1:in=1137:out=7895",
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.373843,0,4,87.577,1747,10907,12654,0.134378,it=0:in=1747:out=10907,
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.309680,0,4,38.284,996,4923,5919,0.061068,it=0:in=996:out=4923,
E05,"Абстрактна тема (дактиль, 5 стоп, ABAB)",edge,дактиль,5,ABAB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,0.000000,1.000000,0.000000,0.395759,0,4,65.980,1961,9478,11439,0.117658,it=0:in=1961:out=9478,
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.376383,0,4,37.806,775,4350,5125,0.053750,it=0:in=775:out=4350,
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,B,LLM + Val + Feedback (no RAG),0,0.750000,1.000000,0.750000,0.310090,1,4,77.901,1894,9860,11754,0.122108,"it=0:in=775:out=2809,it=1:in=1119:out=7051",
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.301790,1,4,158.973,3012,21557,24569,0.264708,"it=0:in=1888:out=10404,it=1:in=1124:out=11153",
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.295694,0,4,53.537,920,6843,7763,0.083956,it=0:in=920:out=6843,
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.284752,0,4,45.072,2033,5366,7399,0.068458,it=0:in=2033:out=5366,
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.408743,0,4,88.290,1888,10588,12476,0.130832,it=0:in=1888:out=10588,
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.371097,0,4,59.390,920,6815,7735,0.083620,it=0:in=920:out=6815,
C01,"Мінімальна тема (хорей, 6 стоп, ABAB)",corner,хорей,6,ABAB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.218288,0,4,69.982,2033,8919,10952,0.111094,it=0:in=2033:out=8919,
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,0.000000,0.000000,0.000000,0,0,363.073,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,B,LLM + Val + Feedback (no RAG),0,0.000000,0.000000,0.000000,0.000000,0,0,363.081,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,C,Semantic RAG + Val + Feedback,0,0.000000,0.000000,0.000000,0.000000,0,0,363.804,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,D,Metric Examples + Val + Feedback,0,0.000000,0.000000,0.000000,0.000000,0,0,363.067,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,E,Full system (semantic + metric examples + val + feedback),0,0.000000,0.000000,0.000000,0.000000,0,0,363.698,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,0.000000,0.000000,0.000000,0,0,363.860,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,0.000000,0.000000,0.000000,0.000000,0,0,363.073,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C02,"Дуже довга тема (ямб, 5 стоп, ABAB)",corner,ямб,5,ABAB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,0.000000,0.000000,0.000000,0.000000,0,0,363.750,0,0,0,0.000000,,generation failed: LLM generate exceeded timeout of 120.0s
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,1.000000,0.000000,0.596395,0,4,60.739,781,7223,8004,0.088238,it=0:in=781:out=7223,
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,0.000000,0.671356,0,4,87.140,781,10635,11416,0.129182,it=0:in=781:out=10635,
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.518910,1,4,78.193,2702,9822,12524,0.123268,"it=0:in=1597:out=5026,it=1:in=1105:out=4796",
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.663258,0,4,64.994,935,7954,8889,0.097318,it=0:in=935:out=7954,
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.510994,0,4,41.274,1751,5048,6799,0.064078,it=0:in=1751:out=5048,
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.000000,1.000000,0.000000,0.558291,0,4,118.808,1597,14729,16326,0.179942,it=0:in=1597:out=14729,
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.517799,0,4,58.902,935,7523,8458,0.092146,it=0:in=935:out=7523,
C03,"Тема латиницею (дактиль, 3 стопи, ABAB)",corner,дактиль,3,ABAB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.582460,0,4,44.580,1751,5211,6962,0.066034,it=0:in=1751:out=5211,
C04,"Невідомий метр (гекзаметр, 4 стопи, ABAB)",corner,гекзаметр,4,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,0.000000,0.000000,0.000000,0.000000,0,0,0.000,0,0,0,0.000000,,"Невідомий метр: 'гекзаметр'. Підтримувані метри: ямб, хорей, дактиль, амфібрахій, анапест."
